anime_id,fear,sadness,neutral,joy,anger,surprise,disgust,title,popularity_rank
16498,0.9301775097846984,0.0022995397448539,0.0069305882789194,0.0009172111749649,0.0277802925556898,0.0021465506870299,0.029748311266303,Shingeki no Kyojin,1
1535,0.0858547315001487,0.0158553831279277,0.034499492496252,0.0024590580724179,0.0534542053937912,0.001762137399055,0.8061150312423706,Death Note,2
5114,0.7522979974746704,0.0294280089437961,0.0141011290252208,0.0013765138573944,0.105504460632801,0.003923934418708,0.0933679938316345,Fullmetal Alchemist: Brotherhood,3
30276,0.0143848573789,0.0111972820013761,0.0438844747841358,0.0043637976050376,0.0100135197862982,0.9116814732551576,0.0044745877385139,One Punch Man,4
11757,0.1049160808324813,0.0423467718064785,0.2398560792207718,0.0062790089286863,0.0878603681921958,0.0088039636611938,0.5099378228187561,Sword Art Online,5
31964,0.0188422799110412,0.0052559301257133,0.7944120168685913,0.1075027510523796,0.0431339032948017,0.0115684298798441,0.0192846935242414,Boku no Hero Academia,6
22319,0.8998632431030273,0.0080215716734528,0.0144599732011556,0.0020676511339843,0.0074106687679886,0.0035215262323617,0.0646553412079811,Tokyo Ghoul,7
20,0.118112027645111,0.0091685038059949,0.0324171558022499,0.0014194267569109,0.5179241299629211,0.0031082914210855,0.3178504109382629,Naruto,8
38000,0.8491028547286987,0.0114277964457869,0.0062321391887962,0.0009597885655239,0.0400898121297359,0.0023650843650102,0.0898224338889122,Kimetsu no Yaiba,9
11061,0.4913583993911743,0.0241394881159067,0.2384877353906631,0.0587291531264781,0.1253578811883926,0.0023753764107823,0.0595519170165061,Hunter x Hunter (2011),10
32281,0.7064354419708252,0.0661168619990348,0.0660867244005203,0.0127969868481159,0.0319811105728149,0.103004440665245,0.0135784167796373,Kimi no Na wa.,11
25777,0.8697559833526611,0.0359428785741329,0.0367482490837574,0.0016885239165276,0.0428098663687706,0.0027447191532701,0.0103098889812827,Shingeki no Kyojin Season 2,12
9253,0.1563394516706466,0.0083237253129482,0.6555814743041992,0.0156132234260439,0.0277027953416109,0.0475029237568378,0.088936373591423,Steins;Gate,13
33486,0.1396173983812332,0.0262883901596069,0.1747495681047439,0.00608686869964,0.5106142163276672,0.0033783349208533,0.139265239238739,Boku no Hero Academia 2nd Season,14
19815,0.2533529102802276,0.1463329344987869,0.3861547708511352,0.0048407455906271,0.0631122514605522,0.0530864633619785,0.0931198596954345,No Game No Life,15
1735,0.8918031454086304,0.0090209040790796,0.0509499087929725,0.0091495541855692,0.0242789480835199,0.0045380783267319,0.0102594718337059,Naruto: Shippuuden,16
1575,0.9138790369033812,0.0340954698622226,0.0258056744933128,0.0033716487232595,0.0160245206207036,0.0033215561416,0.0035020567011088,Code Geass: Hangyaku no Lelouch,17
4224,0.1328233033418655,0.0096688484773039,0.5014009475708008,0.115116037428379,0.0836001113057136,0.0158956348896026,0.1414951235055923,Toradora!,18
28851,0.2922577261924743,0.3098169565200805,0.0311658084392547,0.0036927585024386,0.2016534805297851,0.0024588026572018,0.1589544713497162,Koe no Katachi,19
20507,0.0470487065613269,0.6261913180351257,0.2038351744413375,0.0088466219604015,0.0084672216325998,0.0066159605048596,0.0989949852228164,Noragami,20
35760,0.952104151248932,0.0130706103518605,0.0216503702104091,0.0023101812694221,0.00712317135185,0.000947349530179,0.0027941293083131,Shingeki no Kyojin Season 3,21
23273,0.0886337310075759,0.7460695505142212,0.1049167290329933,0.0323612429201602,0.0077939201146364,0.0049748541787266,0.0152500160038471,Shigatsu wa Kimi no Uso,22
31240,0.2339950650930404,0.2351350486278534,0.0256213769316673,0.0017412847373634,0.427454799413681,0.0287907905876636,0.0472616516053676,Re:Zero kara Hajimeru Isekai Seikatsu,23
6547,0.2089231014251709,0.4173551797866821,0.1055419370532035,0.0045918920077383,0.1196261718869209,0.0344783924520015,0.1094834133982658,Angel Beats!,24
