anime_id,fear,sadness,neutral,joy,anger,surprise,disgust,Cluster
11061,0.4913583993911743,0.0241394881159067,0.2384877353906631,0.0587291531264781,0.1253578811883926,0.0023753764107823,0.0595519170165061,12
31043,0.5033085346221924,0.2821755409240722,0.0246248319745063,0.002432933775708,0.1346930563449859,0.0035219460260123,0.0492431707680225,12
21881,0.3756099939346313,0.031738206744194,0.2127831578254699,0.0030876835808157,0.217420682311058,0.00406433083117,0.1552959531545639,12
24833,0.3397242426872253,0.0045406171120703,0.3669344782829284,0.0175284650176763,0.0509043671190738,0.0463219471275806,0.174045979976654,12
32182,0.6236287951469421,0.0205909330397844,0.2212064713239669,0.0039955689571797,0.0762104466557502,0.005705785471946,0.0486620441079139,12
30831,0.4021969735622406,0.1163023859262466,0.1992687284946441,0.0104852160438895,0.1482366323471069,0.0119088562205433,0.1116013005375862,12
20583,0.542945384979248,0.0131240496411919,0.210158109664917,0.1141753420233726,0.0874823406338691,0.0046057030558586,0.0275091379880905,12
37450,0.4594640433788299,0.0198106449097394,0.3584428429603576,0.0063787098042666,0.0296388640999794,0.0367203950881958,0.0895445272326469,12
38691,0.3669400811195373,0.0156812239438295,0.4282824099063873,0.013436060398817,0.0611540675163269,0.0207373443990945,0.0937688872218132,12
35849,0.5883403420448303,0.0364449508488178,0.1777897179126739,0.0031153236050158,0.1175658479332923,0.0187800675630569,0.0579637549817562,12
34134,0.6739025115966797,0.0051166787743568,0.042543277144432,0.0021907284390181,0.2178650200366974,0.0195989701896905,0.0387828536331653,12
6746,0.6171570420265198,0.0178684126585721,0.2654929459095001,0.0216381717473268,0.0315038636326789,0.0219152495265007,0.0244242399930953,12
5081,0.6199290156364441,0.0244552250951528,0.1938633322715759,0.0159577131271362,0.0078081768006086,0.0257601551711559,0.1122264042496681,12
20899,0.610273003578186,0.0652545094490051,0.0474005937576293,0.0051703131757676,0.2416518628597259,0.002189630176872,0.0280600488185882,12
30015,0.32753387093544,0.1287731081247329,0.258149653673172,0.0050627649761736,0.0631452575325965,0.0277094915509223,0.189625859260559,12
17895,0.3332224488258362,0.2261391729116439,0.1682032793760299,0.2408853769302368,0.0102756330743432,0.0154457399621605,0.0058284141123294,12
